code;standardPrice;manufacturer;categoryText;actionPrice;maxDiscount;purchasePrice;percentVat;applyLoyaltyDiscount
FIX-0001;3215.16;ACME;Krmiva;2471.68;;1929.1;21;1
FIX-0002;480.35;GENERIC;Krmiva;;4;288.21;21;1
FIX-0003;3029.99;TESTBRAND;Oblečení;;;1817.99;21;1
FIX-0004;1141.18;ACME;Navijáky;;;684.71;21;1
FIX-0005;3505.79;ACME;Rybářské pruty;;10;2103.47;21;1
FIX-0006;1930.64;NOVAFISH;Rybářské pruty;;;1158.38;21;1
FIX-0007;3662.17;ZENTECH;Rybářské pruty;;;2197.3;21;1
FIX-0008;2782.6;NOVAFISH;Krmiva;;;1669.56;21;1
FIX-0009;1001.83;ACME;Navijáky;866.9;;601.1;21;1
FIX-0010;4339.09;NOVAFISH;Navijáky;;;2603.45;21;1
FIX-0011;1882.4;ACME;Krmiva;1443.32;;1129.44;21;1
FIX-0012;3193.14;ZENTECH;Oblečení;;;1915.88;21;1
FIX-0013;1386.24;GENERIC;Doplňky;;;831.74;21;1
FIX-0014;4222.12;ACME;Doplňky;;;2533.27;21;1
FIX-0015;2035.77;NOVAFISH;Navijáky;1889.77;;1221.46;21;1
FIX-0016;3294.42;ZENTECH;Navijáky;;;1976.65;21;1
FIX-0017;1361.16;TESTBRAND;Oblečení;1143.84;;816.7;21;1
FIX-0018;4494.22;GENERIC;Krmiva;;;2696.53;21;1
FIX-0019;2492.9;GENERIC;Navijáky;;;1495.74;21;1
FIX-0020;3970.79;TESTBRAND;Oblečení;;10;2382.47;21;1
FIX-0021;2669.12;ACME;Rybářské pruty;;;1601.47;21;1
FIX-0022;3424.47;NOVAFISH;Rybářské pruty;;;2054.68;21;1
FIX-0023;1502.83;NOVAFISH;Krmiva;1053.2;;901.7;21;1
FIX-0024;3821.71;TESTBRAND;Krmiva;;10;2293.03;21;1
FIX-0025;1034.61;TESTBRAND;Doplňky;;4;620.77;21;1
FIX-0026;2468.6;NOVAFISH;Navijáky;1952.03;;1481.16;21;1
FIX-0027;336.73;ACME;Oblečení;;;202.04;21;1
FIX-0028;4089.32;GENERIC;Navijáky;;;2453.59;21;1
FIX-0029;3315.77;GENERIC;Krmiva;;10;1989.46;21;1
FIX-0030;3788.56;ZENTECH;Doplňky;;;2273.14;21;1
FIX-0031;2218.6;ACME;Doplňky;;4;1331.16;21;1
FIX-0032;154.12;ACME;Rybářské pruty;;;92.47;21;1
FIX-0033;3553.81;ACME;Krmiva;2547.55;10;2132.29;21;1
FIX-0034;1228.12;GENERIC;Krmiva;;;736.87;21;1
FIX-0035;2902.25;ACME;Rybářské pruty;2374.75;;1741.35;21;1
FIX-0036;3311.96;ACME;Rybářské pruty;;;1987.18;21;1
FIX-0037;350.03;ACME;Navijáky;;;210.02;21;1
FIX-0038;998.37;NOVAFISH;Oblečení;;4;599.02;21;1
FIX-0039;1286.54;TESTBRAND;Rybářské pruty;;;771.92;21;1
FIX-0040;300.41;ACME;Navijáky;;;180.25;21;1
FIX-0041;873.24;ZENTECH;Rybářské pruty;;;523.94;21;1
FIX-0042;864.95;ZENTECH;Doplňky;689.89;;518.97;21;1
FIX-0043;2143.89;TESTBRAND;Oblečení;;;1286.33;21;1
FIX-0044;816.24;TESTBRAND;Rybářské pruty;769.04;;489.74;21;1
FIX-0045;3752.48;TESTBRAND;Navijáky;3174.76;;2251.49;21;1
FIX-0046;331.55;ACME;Krmiva;;;198.93;21;1
FIX-0047;386.41;TESTBRAND;Navijáky;;;231.85;21;1
FIX-0048;2915.65;TESTBRAND;Krmiva;2100.71;;1749.39;21;1
FIX-0049;1616.03;NOVAFISH;Oblečení;1401.8;;969.62;21;1
FIX-0050;697.85;ACME;Rybářské pruty;;;418.71;21;1
FIX-0051;2318.51;ACME;Krmiva;;;1391.11;21;1
FIX-0052;1105.11;GENERIC;Doplňky;1031.42;;663.07;21;1
FIX-0053;1460.69;NOVAFISH;Krmiva;;;876.41;21;1
FIX-0054;4920.07;TESTBRAND;Doplňky;;;2952.04;21;1
FIX-0055;4662.19;ACME;Krmiva;4287.03;;2797.31;21;1
FIX-0056;819.47;NOVAFISH;Krmiva;616.78;;491.68;21;1
FIX-0057;2468.23;ACME;Oblečení;;;1480.94;21;1
FIX-0058;4155.27;GENERIC;Oblečení;3255.19;10;2493.16;21;1
FIX-0059;2780.82;GENERIC;Krmiva;;4;1668.49;21;1
FIX-0060;228.34;ZENTECH;Navijáky;;;137.0;21;1
